Java HotSpot(TM) 64-Bit Server VM (25.172-b11) for windows-amd64 JRE (1.8.0_172-b11), built on Mar 28 2018 21:21:52 by "java_re" with MS VC++ 10.0 (VS2010)
4.283: [GC (Allocation Failure) [PSYoungGen: 193536K->0K(186880K)] 194388K->852K(360448K), 0.0004185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.360: [GC (Allocation Failure) [PSYoungGen: 186368K->32K(180224K)] 187220K->884K(353792K), 0.0006111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.439: [GC (Allocation Failure) [PSYoungGen: 179744K->0K(174080K)] 180596K->852K(347648K), 0.0004801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.513: [GC (Allocation Failure) [PSYoungGen: 173568K->0K(167936K)] 174420K->852K(341504K), 0.0007187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.582: [GC (Allocation Failure) [PSYoungGen: 167424K->0K(162304K)] 168276K->852K(335872K), 0.0008569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.652: [GC (Allocation Failure) [PSYoungGen: 161792K->0K(156672K)] 162644K->852K(330240K), 0.0005092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.716: [GC (Allocation Failure) [PSYoungGen: 156160K->0K(151552K)] 157012K->852K(325120K), 0.0004544 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.778: [GC (Allocation Failure) [PSYoungGen: 151040K->0K(146432K)] 151892K->852K(320000K), 0.0008060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.838: [GC (Allocation Failure) [PSYoungGen: 145920K->32K(141824K)] 146772K->884K(315392K), 0.0004379 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.898: [GC (Allocation Failure) [PSYoungGen: 141344K->0K(137216K)] 142196K->852K(310784K), 0.0005758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.955: [GC (Allocation Failure) [PSYoungGen: 136704K->0K(132608K)] 137556K->852K(306176K), 0.0006669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.009: [GC (Allocation Failure) [PSYoungGen: 132096K->0K(128512K)] 132948K->852K(302080K), 0.0006512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.062: [GC (Allocation Failure) [PSYoungGen: 128000K->0K(156672K)] 128852K->852K(330240K), 0.0008620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.128: [GC (Allocation Failure) [PSYoungGen: 156160K->0K(151552K)] 157012K->852K(325120K), 0.0005293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.191: [GC (Allocation Failure) [PSYoungGen: 151040K->32K(184832K)] 151892K->884K(358400K), 0.0008308 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.266: [GC (Allocation Failure) [PSYoungGen: 184352K->0K(223744K)] 185204K->852K(397312K), 0.0008539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.361: [GC (Allocation Failure) [PSYoungGen: 223232K->0K(215552K)] 224084K->852K(389120K), 0.0007684 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.452: [GC (Allocation Failure) [PSYoungGen: 215040K->32K(207360K)] 215892K->884K(380928K), 0.0006090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.536: [GC (Allocation Failure) [PSYoungGen: 206880K->0K(199680K)] 207732K->852K(373248K), 0.0006662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.619: [GC (Allocation Failure) [PSYoungGen: 199168K->32K(192512K)] 200020K->884K(366080K), 0.0008141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.702: [GC (Allocation Failure) [PSYoungGen: 192032K->32K(185344K)] 192884K->884K(358912K), 0.0009544 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
